maingroup,1,2,3,4,5,6,7,8,9,10,11,12,13,17,19,20,23
1,0,86.02,61.13,76.5,986.5,697.2,1318,1333,476.3999,677,232.1,507,251.5,920.7,597,663.5,24.9
2,-35.36,0,38.81,74.15,524.1001,787.6001,270.6001,526.1001,182.6,448.7998,37.85,333.5,214.5,749.3,336.8999,318.8999,0
3,-11.12,3.446,0,167,636.1001,637.3999,903.8,1329,25.77,347.2998,5.994,287.1,32.14,648.2,212.5,537.3999,0
4,-69.7,-113.6,-146.8,0,803.2,603.3,5695,884.8999,-52.1,586.5999,5688,197.8,213.1,664.2,6096,872.3,0
5,156.4,457,89.6,25.82,0,-137.1,353.5,-259.7,84,-203.6,101.1,267.8,28.06,-52.39,6.712,199,0
6,16.51,-12.52,-50,-44.5,249.1,0,-181,-101.7,23.39,306.3999,-10.72,179.7,-128.6,489.7,53.28,-202,0
7,300,496.1001,362.3,377.6001,-229.1,289.6001,0,324.5,-195.4,-116,72.87,233.87,540.5,243.2,112.6,-14.09,0
8,275.8,217.5,25.34,244.2,-451.6001,-265.2,-601.8,0,-356.1001,-271.1,-449.3999,0,-162.9,119.9,0,408.9,-354.6001
9,26.76,42.92,140.1,365.8,164.5,108.7,472.5,-133.1,0,-37.36,-213.7,-190.4,-103.6,6201,481.7,669.3999,0
10,505.7,56.3,23.39,106,529,-340.2,480.8,-155.6,128,0,-110.3,766,304.1001,0,0,497.5,0
11,114.8,132.1,85.84,-170,245.4,249.6,200.8,-36.72,372.2,185.1,0,-241.8,-235.7,475.5,494.6001,660.2,0
12,329.3,110.4,18.12,428,139.4,227.8,124.63,0,385.4,-236.5,1167,0,-234,0,-47.25,-268.1,0
13,83.36,26.51,52.13,65.69,237.7,238.4,-314.7,-178.5,191.1,-7.838,461.3,457.3,0,0,-18.51,664.6001,0
17,1139,2000,247.5,762.8,-17.4,-118.1,-341.6,-253.1,-450.3,0,-294.8,0,0,0,-281.6001,0,0
19,24.82,-40.62,-22.97,-138.4,185.4,162.6,242.8,0,-287.5,0,-266.6001,99.37,38.81,777.3999,0,0,0
20,315.3,1264,62.32,89.86,-151,339.8,-66.17,-11,-297.8,-165.5,-256.3,193.9,-338.5,0,0,0,0
23,36.7,0,0,0,0,0,0,0,552.1001,0,0,0,0,0,0,0,0
